{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:02:32
{'high_beta': 5646.0 , 'low_beta': 2751.0 , 'attention': 96 , 'low_gamma': 3036.0 , 'delta': 1788.0 , 'meditation': 11 , 'poor_signal': 0 , 'high_alpha': 870.0 , 'high_gamma': 1996.0 , 'length': 32 , 'theta': 6768.0 , 'low_alpha': 1132.0} 01:02:54
{'high_beta': 7168.0 , 'low_beta': 19042.0 , 'attention': 81 , 'low_gamma': 3858.0 , 'delta': 121030.0 , 'meditation': 26 , 'poor_signal': 0 , 'high_alpha': 26697.0 , 'high_gamma': 3326.0 , 'length': 32 , 'theta': 43653.0 , 'low_alpha': 13181.0} 01:02:55
{'high_beta': 5580.0 , 'low_beta': 4025.0 , 'attention': 80 , 'low_gamma': 1907.0 , 'delta': 100878.0 , 'meditation': 3 , 'poor_signal': 0 , 'high_alpha': 4128.0 , 'high_gamma': 1677.0 , 'length': 32 , 'theta': 24736.0 , 'low_alpha': 2563.0} 01:02:55
{'high_beta': 4151.0 , 'low_beta': 4759.0 , 'attention': 83 , 'low_gamma': 5223.0 , 'delta': 3253.0 , 'meditation': 16 , 'poor_signal': 0 , 'high_alpha': 2252.0 , 'high_gamma': 3061.0 , 'length': 32 , 'theta': 9615.0 , 'low_alpha': 2655.0} 01:02:56
{'high_beta': 5649.0 , 'low_beta': 3044.0 , 'attention': 67 , 'low_gamma': 3391.0 , 'delta': 18221.0 , 'meditation': 23 , 'poor_signal': 0 , 'high_alpha': 2812.0 , 'high_gamma': 2675.0 , 'length': 32 , 'theta': 22373.0 , 'low_alpha': 3547.0} 01:02:57
{'high_beta': 43965.0 , 'low_beta': 20541.0 , 'attention': 84 , 'low_gamma': 18403.0 , 'delta': 129758.0 , 'meditation': 21 , 'poor_signal': 0 , 'high_alpha': 17693.0 , 'high_gamma': 6195.0 , 'length': 32 , 'theta': 56919.0 , 'low_alpha': 40099.0} 01:02:58
{'high_beta': 43160.0 , 'low_beta': 27302.0 , 'attention': 81 , 'low_gamma': 112058.0 , 'delta': 1887796.0 , 'meditation': 43 , 'poor_signal': 0 , 'high_alpha': 57785.0 , 'high_gamma': 33486.0 , 'length': 32 , 'theta': 232237.0 , 'low_alpha': 94522.0} 01:02:59
{'high_beta': 57604.0 , 'low_beta': 35594.0 , 'attention': 63 , 'low_gamma': 40749.0 , 'delta': 1108972.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 62194.0 , 'high_gamma': 42142.0 , 'length': 32 , 'theta': 751395.0 , 'low_alpha': 54966.0} 01:03:00
{'high_beta': 5873.0 , 'low_beta': 3549.0 , 'attention': 57 , 'low_gamma': 22673.0 , 'delta': 448878.0 , 'meditation': 43 , 'poor_signal': 0 , 'high_alpha': 6212.0 , 'high_gamma': 11293.0 , 'length': 32 , 'theta': 34204.0 , 'low_alpha': 7256.0} 01:03:01
{'high_beta': 58199.0 , 'low_beta': 36369.0 , 'attention': 48 , 'low_gamma': 36082.0 , 'delta': 2325611.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 146084.0 , 'high_gamma': 41656.0 , 'length': 32 , 'theta': 156714.0 , 'low_alpha': 42569.0} 01:03:02
{'high_beta': 7177.0 , 'low_beta': 6463.0 , 'attention': 53 , 'low_gamma': 2895.0 , 'delta': 48947.0 , 'meditation': 34 , 'poor_signal': 0 , 'high_alpha': 1159.0 , 'high_gamma': 1708.0 , 'length': 32 , 'theta': 36112.0 , 'low_alpha': 10385.0} 01:03:03
{'high_beta': 26034.0 , 'low_beta': 5636.0 , 'attention': 80 , 'low_gamma': 19118.0 , 'delta': 16151.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 5978.0 , 'high_gamma': 9828.0 , 'length': 32 , 'theta': 5960.0 , 'low_alpha': 18521.0} 01:03:04
{'high_beta': 18705.0 , 'low_beta': 9860.0 , 'attention': 100 , 'low_gamma': 26088.0 , 'delta': 128921.0 , 'meditation': 70 , 'poor_signal': 0 , 'high_alpha': 6535.0 , 'high_gamma': 10522.0 , 'length': 32 , 'theta': 8832.0 , 'low_alpha': 11109.0} 01:03:05
{'high_beta': 28487.0 , 'low_beta': 44817.0 , 'attention': 88 , 'low_gamma': 31642.0 , 'delta': 861652.0 , 'meditation': 37 , 'poor_signal': 0 , 'high_alpha': 44551.0 , 'high_gamma': 51506.0 , 'length': 32 , 'theta': 277048.0 , 'low_alpha': 7344.0} 01:03:06
